"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 상당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"52","충청북도 청주시 상당구 북문로2가","78-10","0078","0010","아트에비뉴198","월세","38.1100","202510","28","100","20","13","2016","중앙로 9-1","202510~202712","신규","-","","","아파트"
"53","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","전세","84.8470","202510","27","36,000","0","16","2022","용담로 50","202512~202712","신규","-","","","아파트"
"54","충청북도 청주시 상당구 용담동","467","0467","0000","우미린에듀파크2단지","전세","84.9696","202510","27","34,500","0","6","2018","수영로 359","202601~202711","갱신","사용","34,500","0","아파트"
"55","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","전세","84.8470","202510","27","36,000","0","16","2022","용담로 50","202512~202712","신규","-","","","아파트"
"56","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","26.5800","202510","27","2,014","7","15","2020","호미로 137","202512~202711","갱신","-","873","12","아파트"
"57","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","27","4,037","9","22","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"58","충청북도 청주시 상당구 용암동","2064","2064","0000","세원한아름","월세","59.7600","202510","26","1,000","60","9","1994","무농정로 90","202512~202712","신규","-","","","아파트"
"59","충청북도 청주시 상당구 용정동","1116","1116","0000","청주용정한라비발디","전세","84.9200","202510","26","31,000","0","9","2013","용정로 25","202602~202802","신규","-","","","아파트"
"60","충청북도 청주시 상당구 문화동","118","0118","0000","문화동센트럴칸타빌","월세","84.7409","202510","26","3,000","130","28","2018","용담로 7","202512~202712","신규","-","","","아파트"
"61","충청북도 청주시 상당구 용암동","2064","2064","0000","세원한아름","전세","59.7600","202510","25","12,000","0","15","1994","무농정로 90","202511~202711","갱신","-","11,500","0","아파트"
"62","충청북도 청주시 상당구 용암동","2108","2108","0000","청주용암주공1단지아파트(해누리)","전세","49.8000","202510","25","8,000","0","15","1994","원봉로 52","202511~202711","신규","-","","","아파트"
"63","충청북도 청주시 상당구 용암동","2108","2108","0000","청주용암주공1단지아파트(해누리)","전세","49.8000","202510","25","8,000","0","15","1994","원봉로 52","202512~202712","신규","-","","","아파트"
"64","충청북도 청주시 상당구 용암동","3151","3151","0000","칸타빌더테라스1단지","전세","116.6434","202510","25","49,000","0","24","2019","중고개로 140","202601~202801","신규","-","","","아파트"
"65","충청북도 청주시 상당구 용암동","3163","3163","0000","청주동남파라곤아파트","전세","84.9455","202510","25","34,000","0","9","2022","중고개로 56","202602~202802","신규","-","","","아파트"
"66","충청북도 청주시 상당구 용암동","3604","3604","0000","동남힐데스하임","전세","84.8429","202510","24","35,000","0","25","2020","월운로 116","202601~202801","신규","-","","","아파트"
"67","충청북도 청주시 상당구 용암동","2108","2108","0000","청주용암주공1단지아파트(해누리)","월세","49.8000","202510","23","1,000","50","9","1994","원봉로 52","202511~202711","신규","-","","","아파트"
"68","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","23","4,231","11","14","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"69","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","23","3,756","9","13","2020","호미로 137","202512~202711","갱신","-","1,868","18","아파트"
"70","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","26.5800","202510","23","2,197","9","12","2020","호미로 137","202512~202711","신규","-","","","아파트"
"71","충청북도 청주시 상당구 금천동","199-1","0199","0001","현대","전세","127.2200","202510","22","11,000","0","10","1992","중고개로337번길 23","202510~202710","갱신","-","50","0","아파트"
"72","충청북도 청주시 상당구 용암동","2915","2915","0000","강변뜨란채","전세","84.7800","202510","22","18,000","0","1","2005","무심동로 86","202512~202712","신규","-","","","아파트"
"73","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","46.8300","202510","22","4,106","20","17","2020","호미로 137","202512~202711","갱신","-","2,966","24","아파트"
"74","충청북도 청주시 상당구 용암동","2108","2108","0000","청주용암주공1단지아파트(해누리)","전세","49.8000","202510","22","8,800","0","12","1994","원봉로 52","202511~202602","갱신","-","8,800","0","아파트"
"75","충청북도 청주시 상당구 금천동","103-2","0103","0002","장미","월세","61.8300","202510","22","1,000","40","3","1990","꽃산서로8번길 16","202511~202711","신규","-","","","아파트"
"76","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","전세","84.9000","202510","22","12,000","0","2","1993","꽃산동로 41","202512~202712","신규","-","","","아파트"
"77","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","전세","84.9000","202510","22","12,000","0","2","1993","꽃산동로 41","202512~202712","갱신","-","9,450","0","아파트"
"78","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","26.5800","202510","22","1,823","7","17","2020","호미로 137","202512~202711","갱신","-","882","12","아파트"
"79","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","46.9700","202510","21","3,706","23","14","2020","호미로 137","202512~202711","갱신","-","2,966","24","아파트"
"80","충청북도 청주시 상당구 방서동","654","0654","0000","청주센트럴자이","전세","84.7377","202510","21","33,000","0","3","2018","단재로 316","202601~202804","신규","-","","","아파트"
"81","충청북도 청주시 상당구 용암동","2076","2076","0000","태산그린","전세","59.7600","202510","21","12,500","0","8","1995","원봉로 20","202511~202711","갱신","-","12,500","0","아파트"
"82","충청북도 청주시 상당구 북문로2가","78-10","0078","0010","아트에비뉴198","월세","20.7250","202510","21","300","34","7","2016","중앙로 9-1","202510~202610","신규","-","","","아파트"
"83","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","20","4,231","11","7","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"84","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","26.5800","202510","20","1,006","14","6","2020","호미로 137","202512~202711","갱신","-","873","12","아파트"
"85","충청북도 청주시 상당구 용암동","2060","2060","0000","부영","전세","60.0000","202510","20","8,854","0","6","1996","월평로 243","202511~202611","갱신","-","8,681","0","아파트"
"86","충청북도 청주시 상당구 용암동","2076","2076","0000","태산그린","전세","59.7600","202510","20","11,000","0","11","1995","원봉로 20","202512~202711","신규","-","","","아파트"
"87","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","26.5800","202510","20","914","12","10","2020","호미로 137","202512~202711","갱신","-","873","12","아파트"
"88","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","20","4,231","11","10","2020","호미로 137","202512~202706","갱신","-","1,850","18","아파트"
"89","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","26.5800","202510","20","1,097","15","19","2020","호미로 137","202512~202711","갱신","-","873","12","아파트"
"90","충청북도 청주시 상당구 용암동","2085","2085","0000","덕성그린타운","전세","59.5800","202510","20","11,700","0","9","1995","용암로 3","202510~202710","갱신","사용","11,900","0","아파트"
"91","충청북도 청주시 상당구 용암동","2915","2915","0000","강변뜨란채","월세","84.7800","202510","20","2,000","85","14","2005","무심동로 86","202512~202804","신규","-","","","아파트"
"92","충청북도 청주시 상당구 금천동","275","0275","0000","장자마을부영(275-7단지)","전세","59.2962","202510","20","13,950","0","1","2001","중고개로 288","202511~202811","신규","-","","","아파트"
"93","충청북도 청주시 상당구 용암동","3604","3604","0000","동남힐데스하임","전세","84.8429","202510","19","34,000","0","1","2020","월운로 116","202511~202711","신규","-","","","아파트"
"94","충청북도 청주시 상당구 용암동","3604","3604","0000","동남힐데스하임","월세","84.8429","202510","19","3,000","130","25","2020","월운로 116","202512~202710","신규","-","","","아파트"
"95","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","월세","129.8320","202510","19","15,000","135","18","2022","용담로 50","202511~202711","신규","-","","","아파트"
"96","충청북도 청주시 상당구 용암동","2086","2086","0000","효성","월세","59.2200","202510","18","1,000","63","11","1994","월평로 221","202510~202710","신규","-","","","아파트"
"97","충청북도 청주시 상당구 용암동","3150","3150","0000","청주동남우미린에듀포레","전세","100.9672","202510","18","43,100","0","11","2021","중고개로142번길 20","202511~202711","갱신","-","43,000","0","아파트"
"98","충청북도 청주시 상당구 용암동","3146","3146","0000","시티프라디움1단지","전세","84.9954","202510","18","27,000","0","14","2020","중고개로142번길 31","202512~202712","신규","-","","","아파트"
"99","충청북도 청주시 상당구 영운동","212-5","0212","0005","한일","월세","64.9800","202510","18","1,000","60","2","1987","수영로110번길 9-2","202510~202605","신규","-","","","아파트"
"100","충청북도 청주시 상당구 용암동","2537","2537","0000","중흥마을마이빌아파트","월세","59.9187","202510","18","2,000","70","10","2003","중흥로 148","202511~202611","신규","-","","","아파트"
"101","충청북도 청주시 상당구 용암동","2086","2086","0000","효성","전세","59.4300","202510","18","11,200","0","6","1994","월평로 221","202511~202711","신규","-","","","아파트"
"102","충청북도 청주시 상당구 용암동","3147","3147","0000","시티프라디움2단지","전세","84.9954","202510","18","40,000","0","25","2020","중고개로142번길 17","202602~202802","신규","-","","","아파트"
"103","충청북도 청주시 상당구 영운동","222","0222","0000","파모스라움아파트","월세","59.4320","202510","18","2,000","70","3","2018","수영로 180","202511~202711","신규","-","","","아파트"
"104","충청북도 청주시 상당구 방서동","653","0653","0000","중흥에스-클래스더퍼스트","전세","84.9970","202510","18","34,000","0","16","2018","단재로 312","202511~202711","신규","-","","","아파트"
"105","충청북도 청주시 상당구 영동","50","0050","0000","평화","전세","72.8800","202510","18","10,000","0","4","1983","사직대로361번길 99","202510~202710","신규","-","","","아파트"
"106","충청북도 청주시 상당구 금천동","270","0270","0000","장자마을현대(2단지)","월세","84.8943","202510","17","2,000","100","15","2002","수영로 328","202511~202711","신규","-","","","아파트"
"107","충청북도 청주시 상당구 문화동","118","0118","0000","문화동센트럴칸타빌","전세","96.9311","202510","17","33,000","0","6","2018","용담로 7","202510~202610","신규","-","","","아파트"
"108","충청북도 청주시 상당구 용암동","2099","2099","0000","건영","전세","84.9300","202510","17","16,500","0","1","1999","중흥로 71","202511~202711","신규","-","","","아파트"
"109","충청북도 청주시 상당구 용암동","3150","3150","0000","청주동남우미린에듀포레","전세","84.9687","202510","17","36,000","0","16","2021","중고개로142번길 20","202602~202802","신규","-","","","아파트"
"110","충청북도 청주시 상당구 용암동","2060","2060","0000","부영","전세","50.4900","202510","17","7,910","0","5","1996","월평로 243","202511~202611","신규","-","","","아파트"
"111","충청북도 청주시 상당구 용암동","2060","2060","0000","부영","전세","50.4900","202510","17","7,910","0","12","1996","월평로 243","202511~202611","갱신","-","7,755","0","아파트"
"112","충청북도 청주시 상당구 방서동","806","0806","0000","우미린풀하우스","전세","84.9687","202510","17","30,000","0","8","2020","동남로 15","202510~202610","신규","-","","","아파트"
"113","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","월세","84.9000","202510","17","500","80","15","1993","꽃산동로 41","202510~202710","갱신","-","500","55","아파트"
"114","충청북도 청주시 상당구 영동","50","0050","0000","평화","전세","70.7800","202510","17","9,700","0","4","1982","사직대로361번길 99","202511~202711","갱신","-","9,700","0","아파트"
"115","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","16","4,037","9","18","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"116","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","16","1,937","19","18","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"117","충청북도 청주시 상당구 영운동","135-19","0135","0019","두산하이츠","월세","22.9300","202510","16","200","25","5","1992","단재로95번길 40","202510~202710","신규","-","","","아파트"
"118","충청북도 청주시 상당구 금천동","122-1","0122","0001","삼일","월세","59.7200","202510","16","500","37","5","1987","영운천로69번길 73","202512~202712","갱신","-","500","37","아파트"
"119","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","월세","84.9000","202510","16","2,000","66","13","1993","꽃산동로 41","202510~202710","신규","-","","","아파트"
"120","충청북도 청주시 상당구 용암동","2082","2082","0000","소라","전세","59.7000","202510","16","11,000","0","14","1994","원봉로 21","202510~202710","갱신","-","10,500","0","아파트"
"121","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","15","4,037","9","17","2020","호미로 137","202512~202711","갱신","-","1,937","18","아파트"
"122","충청북도 청주시 상당구 용암동","2083","2083","0000","삼일무지개","월세","59.9400","202510","15","11,700","10","10","1994","무농정로 103","202511~202711","신규","-","","","아파트"
"123","충청북도 청주시 상당구 용암동","3156","3156","0000","청주동남엘에이치3단지","월세","46.2300","202510","15","5,912","12","22","2022","호미로 60","202512~202711","갱신","-","3,163","26","아파트"
"124","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","46.9700","202510","15","3,136","26","24","2020","호미로 137","202512~202711","갱신","-","2,995","25","아파트"
"125","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","15","4,231","11","10","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"126","충청북도 청주시 상당구 방서동","55-6","0055","0006","참좋은하얀마을","전세","84.5222","202510","15","15,500","0","5","2006","단재로 303-19","202510~202710","갱신","-","15,500","0","아파트"
"127","충청북도 청주시 상당구 금천동","477","0477","0000","금천센트럴파크스타힐스","월세","67.7429","202510","14","3,000","100","13","2020","쇠내로 48","202601~202801","신규","-","","","아파트"
