"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"62","충청북도 청주시 흥덕구 오송읍 정중리","2**","단독","8m미만","92.79","353.00","202508","04","25,000","개인","개인","2006","정중2길","-","중개거래","충북 청주시 흥덕구"
"63","충청북도 청주시 흥덕구 복대동","8**","다가구","12m미만","467.12","198.30","202508","03","44,000","개인","개인","2003","월명로13번길","-","중개거래","충북 청주시 흥덕구"
"64","충청북도 청주시 흥덕구 오송읍 만수리","6**","다가구","12m미만","376.86","252.80","202508","02","67,000","개인","개인","2011","만수1길","-","중개거래","충북 청주시 흥덕구"
"65","충청북도 청주시 흥덕구 동막동","4**","단독","8m미만","61.71","513.00","202508","01","15,000","개인","개인","1935","동막로","-","중개거래","충북 청주시 서원구"
"66","충청북도 청주시 흥덕구 강내면 다락리","2**","단독","8m미만","98.60","624.00","202507","28","42,000","개인","개인","2017","다락탑연길","-","중개거래","세종, 충북 청주시 흥덕구"
"67","충청북도 청주시 흥덕구 봉명동","1**","단독","8m미만","251.28","231.50","202507","23","28,800","법인","개인","1990","1순환로570번길","20250826","중개거래","충북 청주시 흥덕구"
"68","충청북도 청주시 흥덕구 복대동","8**","다가구","8m미만","468.08","196.00","202507","23","43,300","개인","개인","2003","봉명로90번길","-","중개거래","충북 청주시 서원구"
"69","충청북도 청주시 흥덕구 봉명동","1**","단독","8m미만","251.28","231.50","202507","23","28,800","법인","개인","1998","1순환로570번길","-","중개거래","충북 청주시 흥덕구"
"70","충청북도 청주시 흥덕구 봉명동","2***","다가구","8m미만","469.72","237.10","202507","22","84,500","개인","개인","2016","과상미로93번길","-","중개거래","충북 청주시 흥덕구"
"71","충청북도 청주시 흥덕구 수의동","3**","단독","8m미만","93.48","668.00","202507","21","50,319","기타","개인","2021","유성로133번길","-","직거래","-"
"72","충청북도 청주시 흥덕구 봉명동","1***","다가구","12m미만","422.77","194.70","202507","21","80,000","법인","개인","2014","과상미로9번길","-","중개거래","충북 청주시 흥덕구"
"73","충청북도 청주시 흥덕구 봉명동","2***","다가구","8m미만","268.11","229.40","202507","19","20,000","개인","개인","1993","백봉로220번길","-","중개거래","충북 청주시 흥덕구"
"74","충청북도 청주시 흥덕구 복대동","2***","단독","8m미만","258.94","239.30","202507","17","24,500","개인","개인","1992","장구봉로129번길","-","중개거래","충북 청주시 흥덕구"
"75","충청북도 청주시 흥덕구 봉명동","1***","단독","12m미만","202.15","190.10","202507","16","22,000","개인","개인","1988","과상미로59번길","-","중개거래","충북 청주시 흥덕구"
"76","충청북도 청주시 흥덕구 비하동","1**","다가구","12m미만","716.39","402.00","202507","15","204,000","개인","법인","2023","가로수로1131번길","-","중개거래","충북 청주시 흥덕구"
"77","충청북도 청주시 흥덕구 복대동","1**","다가구","8m미만","355.29","237.70","202507","15","36,500","개인","개인","1996","가로수로1354번길","-","중개거래","충북 청주시 흥덕구"
"78","충청북도 청주시 흥덕구 복대동","7*","단독","8m미만","176.16","152.00","202507","14","16,500","개인","개인","1985","월명로35번길","-","직거래","-"
"79","충청북도 청주시 흥덕구 봉명동","1**","다가구","8m미만","244.44","208.50","202507","14","30,500","기타","개인","1994","1순환로570번길","-","중개거래","충북 청주시 흥덕구"
"80","충청북도 청주시 흥덕구 오송읍 만수리","6**","다가구","12m미만","356.03","248.10","202507","14","68,500","개인","개인","2014","만수길","-","중개거래","충북 청주시 흥덕구"
"81","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","199.54","183.50","202507","12","18,500","개인","개인","1988","봉명로241번길","-","중개거래","충북 청주시 서원구"
"82","충청북도 청주시 흥덕구 복대동","2***","단독","12m미만","347.18","193.20","202507","11","38,500","개인","개인","2000","진재로48번길","-","중개거래","충북 청주시 서원구"
"83","충청북도 청주시 흥덕구 봉명동","1***","다가구","25m미만","627.38","314.20","202507","11","118,400","개인","개인","2006","백봉로","-","직거래","-"
"84","충청북도 청주시 흥덕구 오송읍 만수리","7**","다가구","12m미만","365.90","258.80","202507","10","59,500","개인","개인","2010","만수길","-","중개거래","충북 청주시 흥덕구"
"85","충청북도 청주시 흥덕구 복대동","2***","단독","8m미만","274.44","226.60","202507","09","26,500","개인","개인","1992","풍산로118번길","-","중개거래","충북 청주시 흥덕구"
"86","충청북도 청주시 흥덕구 봉명동","2***","단독","12m미만","454.14","216.20","202507","08","83,500","개인","개인","2013","덕암로24번길","-","중개거래","충북 청주시 상당구"
"87","충청북도 청주시 흥덕구 강내면 다락리","3**","단독","12m미만","86.76","640.00","202507","08","41,337","개인","개인","1997","다락1길","-","중개거래","충북 청주시 흥덕구"
"88","충청북도 청주시 흥덕구 오송읍 궁평리","2**","단독","8m미만","75.69","330.00","202507","08","62,000","개인","개인","2015","궁평길","-","중개거래","충북 청주시 흥덕구"
