"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"83","충청북도 청주시 흥덕구 복대동","2459","2459","0000","두진하트리움","59.9238","202510","29","21,400","-","10","개인","개인","1999","증안로 33","-","중개거래","충북 청주시 흥덕구","-"
"84","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.8447","202510","29","35,700","-","14","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"85","충청북도 청주시 흥덕구 강내면 월곡리","300","0300","0000","월곡조합","46.1100","202510","29","5,000","나","5","개인","개인","1985","탑연월곡길 86-10","-","직거래","-","25.10.29"
"86","충청북도 청주시 흥덕구 송절동","850","0850","0000","테크노폴리스우미린","84.9821","202510","29","49,000","-","17","개인","개인","2018","송화로214번길 29","-","중개거래","충북 청주시 흥덕구","-"
"87","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.9800","202510","28","34,700","-","4","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"88","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.7397","202510","28","37,400","-","18","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"89","충청북도 청주시 흥덕구 강내면 월곡리","82-1","0082","0001","흥덕칸타빌더뉴","84.8504","202510","28","36,500","-","17","개인","개인","2024","가로수로 640-47","-","중개거래","충북 청주시 흥덕구","-"
"90","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주지웰시티푸르지오","70.6780","202510","28","58,500","-","25","개인","개인","2019","대농로 45","-","중개거래","충북 청주시 흥덕구","-"
"91","충청북도 청주시 흥덕구 강서동","33-7","0033","0007","우정","22.6400","202510","27","3,400","-","10","개인","개인","1992","가로수로1154번길 21-5","-","중개거래","충북 청주시 흥덕구","25.10.29"
"92","충청북도 청주시 흥덕구 신봉동","159","0159","0000","삼성레미안","84.8700","202510","27","18,700","-","13","개인","개인","1992","사운로 335","-","중개거래","충북 청주시 흥덕구","-"
"93","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주지웰시티푸르지오","84.6910","202510","27","63,500","-","16","개인","개인","2019","대농로 45","-","중개거래","충북 청주시 흥덕구","-"
"94","충청북도 청주시 흥덕구 복대동","2607","2607","0000","세원테마빌","74.9884","202510","27","23,500","-","10","개인","개인","2001","짐대로 14","-","중개거래","충북 청주시 흥덕구","-"
"95","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","59.3291","202510","27","20,000","-","8","개인","개인","2003","증안로 21","-","중개거래","충북 청주시 흥덕구","-"
"96","충청북도 청주시 흥덕구 봉명동","1855","1855","0000","푸른","44.1300","202510","27","9,200","-","6","개인","개인","1994","월명로 124","-","중개거래","충북 청주시 흥덕구","-"
"97","충청북도 청주시 흥덕구 비하동","362","0362","0000","효성2차","59.8600","202510","27","11,750","-","2","개인","개인","1997","2순환로1050번길 24","-","중개거래","충북 청주시 흥덕구","-"
"98","충청북도 청주시 흥덕구 가경동","1758","1758","0000","가로수마을선광로즈웰","84.9468","202510","27","40,200","-","15","개인","개인","2008","서현중로 48","-","중개거래","충북 청주시 흥덕구","-"
"99","충청북도 청주시 흥덕구 가경동","1189","1189","0000","형석1","59.3400","202510","27","14,000","-","8","개인","개인","1992","가경로 158","-","중개거래","충북 청주시 흥덕구","-"
"100","충청북도 청주시 흥덕구 강서동","45-4","0045","0004","청도","59.8800","202510","27","13,300","-","14","개인","법인","2000","가로수로1144번길 72-2","20251029","중개거래","충북 청주시 흥덕구","-"
"101","충청북도 청주시 흥덕구 강서동","45-4","0045","0004","청도","59.8800","202510","27","13,300","-","8","개인","법인","2000","가로수로1144번길 72-2","-","중개거래","충북 청주시 흥덕구","-"
"102","충청북도 청주시 흥덕구 비하동","823","0823","0000","청주비하1차대광로제비앙","84.9860","202510","26","40,000","-","13","개인","개인","2018","가로수로1131번길 11","-","중개거래","충북 청주시 흥덕구","-"
"103","충청북도 청주시 흥덕구 비하동","300","0300","0000","효성아파트","59.9000","202510","26","15,000","-","12","개인","개인","1995","2순환로1050번길 39","-","중개거래","충북 청주시 흥덕구","-"
"104","충청북도 청주시 흥덕구 비하동","824","0824","0000","서청주파크자이","74.3861","202510","26","44,900","-","20","개인","개인","2019","2순환로 1106","-","중개거래","충북 청주시 흥덕구","-"
"105","충청북도 청주시 흥덕구 복대동","3403","3403","0000","청주복대2차두진하트리움아파트","74.8923","202510","26","42,500","202동","6","개인","개인","2018","대신로73번길 50","-","중개거래","충북 청주시 흥덕구","25.10.29"
"106","충청북도 청주시 흥덕구 가경동","1189","1189","0000","형석1","72.6100","202510","26","15,900","103동","1","개인","개인","1992","가경로 158","-","직거래","-","25.10.27"
"107","충청북도 청주시 흥덕구 복대동","3381","3381","0000","두산위브지웰시티2차","80.0020","202510","26","68,500","-","42","개인","개인","2015","대농로 55","-","중개거래","충북 청주시 흥덕구","-"
"108","충청북도 청주시 흥덕구 옥산면 가락리","981","0981","0000","청주리버파크자이","77.2710","202510","26","31,700","-","5","개인","개인","2019","오송가락로 1056","-","중개거래","충북 청주시 흥덕구","-"
"109","충청북도 청주시 흥덕구 복대동","3367","3367","0000","어울림","84.6270","202510","26","42,500","-","10","개인","개인","2009","대신로74번길 21","-","직거래","-","-"
"110","충청북도 청주시 흥덕구 복대동","221-7","0221","0007","대원","84.9700","202510","26","26,000","-","4","개인","개인","1999","죽천로146번길 6","-","중개거래","충북 청주시 흥덕구","-"
"111","충청북도 청주시 흥덕구 오송읍 만수리","549","0549","0000","오송경남아너스빌","84.9100","202510","26","30,700","-","2","개인","개인","2009","오송생명5로 201","-","중개거래","경기 안산시 단원구, 충북 청주시 흥덕구","-"
"112","충청북도 청주시 흥덕구 오송읍 연제리","736","0736","0000","오송호반베르디움","84.9636","202510","26","36,500","-","26","개인","개인","2010","오송생명3로 111","-","중개거래","충북 청주시 흥덕구","-"
"113","충청북도 청주시 흥덕구 복대동","3366","3366","0000","어울림","99.6930","202510","26","44,000","-","14","개인","개인","2009","대신로73번길 14","-","중개거래","충북 청주시 흥덕구","-"
"114","충청북도 청주시 흥덕구 송절동","846","0846","0000","청주테크노폴리스우방아이유쉘2단지","84.9725","202510","26","46,000","-","9","개인","개인","2018","송화로108번길 111","-","중개거래","서울 동대문구, 충북 청주시 흥덕구","-"
"115","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.7397","202510","26","38,800","-","25","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
