"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 서원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"58","충청북도 청주시 서원구 분평동","1386","1386","0000","분평주공7","84.9000","202510","25","20,200","-","7","개인","개인","1997","분평로 18","-","중개거래","충북 청주시 서원구","-"
"59","충청북도 청주시 서원구 분평동","1261","1261","0000","분평주공4","59.9900","202510","25","16,000","-","11","개인","개인","1999","1순환로1137번길 80","-","중개거래","충북 청주시 서원구","-"
"60","충청북도 청주시 서원구 산남동","1100","1100","0000","대원칸타빌2차","84.9823","202510","25","30,500","-","5","개인","개인","2007","산미로 143","-","중개거래","충북 청주시 서원구","-"
"61","충청북도 청주시 서원구 분평동","1211","1211","0000","분평1단지뜨란채","59.4500","202510","25","17,000","-","15","개인","개인","2000","월평로 25","-","중개거래","충북 청주시 서원구","-"
"62","충청북도 청주시 서원구 분평동","1249","1249","0000","현대대우8단지","181.6200","202510","25","39,000","-","2","개인","개인","1999","월평로 28","-","중개거래","충북 청주시 서원구","-"
"63","충청북도 청주시 서원구 수곡동","1057","1057","0000","더샵청주퍼스트파크","84.9616","202510","25","41,700","-","25","개인","개인","2021","수곡로 20","-","중개거래","충북 청주시 서원구","-"
"64","충청북도 청주시 서원구 개신동","590","0590","0000","그린빌","75.9900","202510","25","23,000","-","2","개인","개인","2003","신율로 43","-","중개거래","충북 청주시 서원구","-"
"65","충청북도 청주시 서원구 성화동","939","0939","0000","성화호반베르디움","84.8572","202510","24","38,000","-","7","개인","개인","2012","구룡산로 24","-","중개거래","충북 청주시 서원구","-"
"66","충청북도 청주시 서원구 남이면 척북리","74-7","0074","0007","삼포","36.6200","202510","24","1,700","105","1","개인","개인","2000","저산척북로 636-10","-","직거래","-","25.10.27"
"67","충청북도 청주시 서원구 죽림동","295","0295","0000","청주가경3주공","51.7400","202510","24","15,900","-","11","개인","법인","2003","대림로 493","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구","-"
"68","충청북도 청주시 서원구 분평동","1261","1261","0000","주공4단지2차","49.7700","202510","24","11,000","-","7","개인","개인","1998","1순환로1137번길 80","-","직거래","-","-"
"69","충청북도 청주시 서원구 남이면 가마리","378","0378","0000","청주가마힐데스하임","84.9114","202510","24","30,000","-","25","개인","개인","2016","2순환로 1717","-","직거래","-","-"
"70","충청북도 청주시 서원구 사직동","937","0937","0000","푸르지오캐슬(401~413)","84.4000","202510","23","31,800","-","7","개인","개인","2010","창직로 50","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","-"
"71","충청북도 청주시 서원구 모충동","553","0553","0000","청주모충LH트릴로채","84.8500","202510","23","34,800","-","21","개인","개인","2021","쌍샘로 22","-","중개거래","충북 청주시 서원구","-"
"72","충청북도 청주시 서원구 개신동","613","0613","0000","휴먼시아","49.9300","202510","23","14,100","제111동","11","개인","개인","2001","경신로 67","-","중개거래","충북 청주시 서원구","25.10.27"
"73","충청북도 청주시 서원구 개신동","635","0635","0000","주공뜨란채","59.4200","202510","23","17,500","-","13","개인","개인","2000","경신로 68","-","중개거래","충북 청주시 서원구","-"
"74","충청북도 청주시 서원구 분평동","1200","1200","0000","주공3단지2차","39.6900","202510","23","8,900","-","4","개인","개인","1997","1순환로1137번길 130","-","중개거래","충북 청주시 서원구","-"
"75","충청북도 청주시 서원구 분평동","1211","1211","0000","분평1단지뜨란채","49.8100","202510","22","10,000","-","7","개인","개인","2000","월평로 25","-","중개거래","충북 청주시 서원구","-"
"76","충청북도 청주시 서원구 분평동","1261","1261","0000","주공4단지2차","49.7700","202510","22","11,400","414동","13","개인","개인","1998","1순환로1137번길 80","-","중개거래","충북 청주시 서원구","25.10.24"
"77","충청북도 청주시 서원구 분평동","274","0274","0000","분평리슈빌1단지","134.7217","202510","22","41,000","103","6","개인","개인","2008","매봉로 26-1","-","직거래","-","25.10.22"
"78","충청북도 청주시 서원구 개신동","11","0011","0000","삼익2","84.9600","202510","22","17,100","-","6","개인","개인","1993","창직로12번길 65","20251105","중개거래","충북 청주시 서원구","-"
"79","충청북도 청주시 서원구 개신동","634","0634","0000","청주개신푸르지오","84.7858","202510","22","29,000","-","4","개인","개인","2004","신율로 13","-","중개거래","충북 청주시 서원구","-"
"80","충청북도 청주시 서원구 개신동","11","0011","0000","삼익2","84.9600","202510","22","17,100","-","6","개인","개인","1993","창직로12번길 65","-","중개거래","충북 청주시 서원구","-"
"81","충청북도 청주시 서원구 분평동","1261","1261","0000","주공4단지2차","39.6900","202510","22","8,930","-","10","개인","개인","1998","1순환로1137번길 80","-","중개거래","충북 청주시 서원구","-"
"82","충청북도 청주시 서원구 모충동","553","0553","0000","청주모충LH트릴로채","59.7600","202510","22","28,400","107동","15","개인","개인","2021","쌍샘로 22","-","중개거래","충북 청주시 서원구, 충북 청주시 청원구","25.10.27"
"83","충청북도 청주시 서원구 모충동","88-4","0088","0004","남부상가","57.2900","202510","22","4,300","-","5","개인","개인","1981","구룡산로405번길 54","-","중개거래","충북 청주시 서원구","-"
"84","충청북도 청주시 서원구 사직동","358-5","0358","0005","덕희","22.2000","202510","21","2,900","101","7","개인","개인","1994","남사로 14","-","중개거래","충북 청주시 흥덕구","25.10.21"
