시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,오송읍,43113-2023-00009,공인중개사,김윤경,파라곤대표공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송생명7로 151 , 227동 1층 A-B104호(오송역 파라곤 센트럴시티)"
충청북도 청주시흥덕구,복대동,43113-2023-00010,공인중개사,정금희,지웰탑부동산공인중개사사무소,충청북도 청주시 흥덕구 대농로 55 두산위브지웰시티2차 제상업시설동 제1층 107호
충청북도 청주시흥덕구,복대동,43113-2023-00014,공인중개사,이경민,럭키짱공인중개사사무소,충청북도 청주시 흥덕구 죽천로89번길 9 
충청북도 청주시흥덕구,복대동,43113-2023-00015,공인중개사,송명숙,금호스마트공인중개사사무소,충청북도 청주시 흥덕구 대신로73번길 8 금호어울림 제상가동 제1층 117호
충청북도 청주시흥덕구,오송읍,43113-2023-00017,공인중개사,유은영,오송우리부동산공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명7로 151 오송역 파라곤 센트럴시티 227동 A-B 101호
충청북도 청주시흥덕구,가경동,43113-2023-00018,공인중개사,박수진,가경수공인중개사사무소,충청북도 청주시 흥덕구 가경로 176 상가2동 104호
충청북도 청주시흥덕구,강서동,43113-2023-00019,공인중개사,양승철,하나로부동산공인중개사사무소,충청북도 청주시 흥덕구 서부로1101번길 25 
충청북도 청주시흥덕구,강서동,43113-2023-00025,공인중개사,송창욱,센트럴공인중개사사무소,"충청북도 청주시 흥덕구 2순환로 1228 , 107호 (강서동, 이랜드타운힐스싱글스위트청주)"
충청북도 청주시흥덕구,오송읍,43113-2023-00028,공인중개사,홍승희,뉴큰손공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송생명14로 215 , 상가동 121호 (오송역동아라이크텐)"
충청북도 청주시흥덕구,오송읍,43113-2023-00029,공인중개사,신동혁,오송광개토공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 봉산3길 16-12 ,102호"
충청북도 청주시흥덕구,복대동,43113-2023-00036,공인중개사,김광수,명당공인중개사사무소,충청북도 청주시 흥덕구 사직대로41번길 36 늘사랑빌 101호
충청북도 청주시흥덕구,휴암동,43113-2023-00038,공인중개사,장용숙,갑부공인중개사사무소,충청북도 청주시 흥덕구 신전로5번길 24 
충청북도 청주시흥덕구,비하동,43113-2023-00039,공인중개사,유안향,비하계룡리슈빌공인중개사사무소,"충청북도 청주시 흥덕구 가로수로1131번길 110 ,리슈빌상가 1동 105호(비하동)"
충청북도 청주시흥덕구,오송읍,43113-2023-00040,공인중개사,송용숙,다성공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명8로 178 3동 104호
충청북도 청주시흥덕구,오송읍,43113-2023-00041,공인중개사,이인숙,오송써니공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명12로 102-24 
충청북도 청주시흥덕구,옥산면,43113-2023-00046,공인중개사,소미연,서초공인중개사사무소,충청북도 청주시 흥덕구 옥산면 옥산시내1길 44-1 1층
충청북도 청주시흥덕구,복대동,43113-2023-00050,공인중개사,김성순,길벗부동산공인중개사사무소,충청북도 청주시 흥덕구 증안로22번길 28 101호
충청북도 청주시흥덕구,강내면,43113-2023-00052,공인중개사,김경수,에이원부동산공인중개사사무소,충청북도 청주시 흥덕구 강내면 산단1길 10 1층
충청북도 청주시흥덕구,봉명동,43113-2023-00053,공인중개사,최성옥,국민공인중개사사무소,충청북도 청주시 흥덕구 덕암로108번길 44 봉명아이파크 제상가동 107호
