"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"41","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202508","16","6,600","16","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"42","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","37.6100","202508","12","9,000","7","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 청원구"
"43","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202508","12","5,000","11","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"44","충청북도 청주시 흥덕구 강서동","503","0503","0000","강서 베리굿","59.2545","202508","12","11,800","3","개인","개인","2015","서현중로 63","-","중개거래","충북 청주시 흥덕구"
"45","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","28.5200","202508","12","10,300","11","개인","개인","2016","진재로 131","-","중개거래","세종, 충북 청주시 흥덕구"
"46","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","29.2400","202508","06","9,000","2","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"47","충청북도 청주시 흥덕구 비하동","784","0784","0000","(784)","36.0000","202508","04","3,600","5","개인","개인","2008","비하로18번길 10","-","중개거래","충북 청주시 흥덕구"
"48","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6200","202508","04","6,900","7","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"49","충청북도 청주시 흥덕구 오송읍 만수리","531","0531","0000","오송 리움갤러리96","44.7175","202508","01","9,200","11","개인","개인","2012","오송생명로 208-9","-","중개거래","충북 청주시 흥덕구"
"50","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","42.7500","202508","01","6,900","6","법인","법인","2003","풍년로 185","20250911","중개거래","충북 청주시 흥덕구"
"51","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","39.6000","202508","01","6,900","5","법인","법인","2003","풍년로 185","-","중개거래","충북 청주시 흥덕구"
"52","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","38.7200","202508","01","6,900","6","법인","법인","2003","풍년로 185","-","중개거래","충북 청주시 흥덕구"
"53","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","42.7500","202508","01","6,900","6","법인","법인","2003","풍년로 185","-","중개거래","충북 청주시 흥덕구"
"54","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","39.6000","202508","01","6,900","5","법인","법인","2003","풍년로 185","20250911","중개거래","충북 청주시 흥덕구"
"55","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","41.7500","202508","01","6,900","5","법인","법인","2003","풍년로 185","20250911","중개거래","충북 청주시 흥덕구"
"56","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","38.7200","202508","01","6,900","6","법인","법인","2003","풍년로 185","20250911","중개거래","충북 청주시 흥덕구"
"57","충청북도 청주시 흥덕구 가경동","1036","1036","0000","파라지오","41.7500","202508","01","6,900","5","법인","법인","2003","풍년로 185","-","중개거래","충북 청주시 흥덕구"
