□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
32,충청북도 청주시 서원구 모충동,257-7,257,7,태양빌A동,70.95,54.875,202505,27,"12,000",3,개인,개인,2015,서원서로 2,-,직거래,-,25.06.05
33,충청북도 청주시 서원구 산남동,9-51,51,9,"에코빌2차(3,4동)",73.255,87.8,202505,26,"13,700",1,개인,개인,2015,원흥로 11-19,-,직거래,-,25.06.11
34,충청북도 청주시 서원구 사창동,323-1,323,1,에스텔HOUSE,66.785,52.27,202505,21,"17,000",4,개인,개인,2015,창신로22번길 65-10,-,직거래,-,25.05.26
35,충청북도 청주시 서원구 사직동,266-1,266,1,서울주택,50.48,33.24,202505,17,"4,300",2,개인,개인,1983,호국로 108,-,중개거래,충북 청주시 서원구,25.06.17
36,충청북도 청주시 서원구 사직동,640-20,640,20,동원A,52.58,43.72,202505,15,"8,000",4,개인,개인,1984,호국로 39,-,직거래,-,25.05.20
37,충청북도 청주시 서원구 개신동,443-35,443,35,창대아트빌라,24.855,15.369,202505,13,"1,800",1,개인,개인,1995,모충로44번길 25,-,중개거래,충북 청주시 서원구,25.05.14
38,충청북도 청주시 서원구 사창동,207-1,207,1,동신(마),50.45,28,202505,13,"5,400",2,개인,개인,1980,천수로 14-2,-,중개거래,충북 청주시 서원구,25.06.04
39,충청북도 청주시 서원구 개신동,443-35,443,35,창대아트빌라,24.855,15.369,202505,9,"1,300",2,개인,개인,1995,모충로44번길 25,-,직거래,-,25.05.09
40,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,68.77,76.18,202505,2,"12,000",1,개인,개인,2017,청남로 1233-6,-,직거래,-,25.05.28
41,충청북도 청주시 서원구 모충동,502,502,0,우석,42.11,44.74,202504,26,"10,485",2,개인,개인,1991,모충로 85-4,-,중개거래,충북 청주시 서원구,25.05.15
42,충청북도 청주시 서원구 죽림동,137-1,137,1,그린하우스,50.79,71.875,202504,25,"7,200",2,개인,법인,2013,대림로421번길 99,-,중개거래,충북 청주시 상당구,25.05.14
43,충청북도 청주시 서원구 개신동,443-35,443,35,창대아트빌라,24.115,14.822,202504,18,"1,400",2,개인,개인,1995,모충로44번길 25,-,직거래,-,25.04.18
44,충청북도 청주시 서원구 수곡동,18-47,18,47,영우나동,35.36,29,202504,14,"4,250",2,개인,개인,1990,구룡산로417번길 20,-,중개거래,충북 청주시 서원구,25.04.15
45,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,71.33,79.015,202504,9,"11,000",2,개인,법인,2017,청남로 1233-6,-,중개거래,충북 청주시 상당구,25.05.08
46,충청북도 청주시 서원구 사창동,248-10,248,10,동신,41.39,56.2,202504,7,"3,000",2,개인,개인,1979,천석로 22,-,직거래,-,25.04.07
47,충청북도 청주시 서원구 사창동,252-3,252,3,서일,42.28,47.8188,202504,7,"2,620",2,개인,개인,1978,천석로8번길 10,-,직거래,-,25.04.07
48,충청북도 청주시 서원구 모충동,257-7,257,7,태양빌A동,70.95,54.875,202504,3,"14,000",2,개인,개인,2015,서원서로 2,-,중개거래,충북 청주시 서원구,25.06.02
49,충청북도 청주시 서원구 산남동,46-36,46,36,"에코빌1,2동",72.795,108,202504,1,"12,000",2,개인,개인,2014,원흥로 11-17,-,중개거래,충북 청주시 서원구,25.06.18
50,충청북도 청주시 서원구 수곡동,1-62,62,1,이지네스트,68.59,54.275,202503,29,"12,500",4,개인,개인,2012,청남로2036번길 76,-,중개거래,충북 청주시 서원구,25.04.30
51,충청북도 청주시 서원구 사직동,640-20,640,20,동원A,64.76,53.85,202503,29,"11,220",2,개인,개인,1984,호국로 39,-,중개거래,충북 청주시 서원구,25.04.08
52,충청북도 청주시 서원구 사창동,184-2,184,2,"동신(가,나,다)",51.9,45.9,202503,27,"6,600",3,개인,개인,1980,천수로 11,-,중개거래,충북 청주시 흥덕구,25.05.20
53,충청북도 청주시 서원구 사직동,47-23,47,23,목련,51.48,51.6,202503,26,"5,000",5,개인,개인,1985,모충로153번길 19,-,직거래,-,25.03.31
54,충청북도 청주시 서원구 모충동,487-37,487,37,금호아트빌,48.48,32.853,202503,25,"6,500",5,개인,기타,2007,모충로96번길 52-1,-,직거래,-,25.03.26
55,충청북도 청주시 서원구 수곡동,18-49,18,49,영우다동,35.36,20.8,202503,19,"6,000",2,개인,개인,1990,구룡산로417번길 20,-,중개거래,충북 청주시 서원구,25.05.28
56,충청북도 청주시 서원구 장암동,352-1,352,1,(352-1),94.15,128.55,202503,19,"24,845",2,개인,개인,2014,가장로393번길 15,-,중개거래,충북 청주시 흥덕구,25.05.23
57,충청북도 청주시 서원구 사창동,184-2,184,2,"동신(가,나,다)",51.9,45.9,202503,19,"7,000",2,개인,개인,1980,천수로 11,-,중개거래,충북 청주시 서원구,25.04.24
58,충청북도 청주시 서원구 남이면 가마리,335,335,0,광진빌라B,68.9,100.88,202503,18,"8,000",3,개인,개인,2016,가마길 93-1,-,중개거래,충북 청주시 서원구,25.03.21
59,충청북도 청주시 서원구 남이면 척산리,587-1,587,1,황금빌라4동,62.18,64.69,202503,18,"10,916",3,개인,개인,2018,청남로 1233-10,-,직거래,-,25.04.08
60,충청북도 청주시 서원구 사창동,190-12,190,12,동성빌라,48.9,37.83,202503,16,"4,280",2,개인,개인,1989,천수로24번길 18,-,중개거래,"충북 청주시 상당구, 충북 청주시 서원구",25.04.07
61,충청북도 청주시 서원구 모충동,255-16,255,16,영우가동나동,47.52,38.736,202503,16,"5,500",4,개인,개인,1991,서원남로58번길 53-4,-,직거래,-,25.03.17
62,충청북도 청주시 서원구 수곡동,1-65,65,1,아름나래빌,84.7459,76.3844,202503,8,"14,800",2,개인,개인,2004,수영로24번길 32,-,중개거래,충북 청주시 상당구,25.05.12
63,충청북도 청주시 서원구 수곡동,1-62,62,1,이지네스트,68.59,54.275,202503,6,"13,500",5,개인,개인,2012,청남로2036번길 76,-,직거래,-,25.04.03
64,충청북도 청주시 서원구 모충동,458,458,0,베로스빌,70.98,75.9375,202502,24,"11,800",4,개인,개인,2007,모충로96번길 30-1,-,중개거래,충북 청주시 서원구,25.03.11
65,충청북도 청주시 서원구 수곡동,171-13,171,13,명보,62.04,55.05,202502,16,"6,500",1,개인,개인,1986,구룡산로330번길 5,-,직거래,-,25.03.10
66,충청북도 청주시 서원구 남이면 가마리,30-20,30,20,힐데스빌2단지,84.0438,99.18,202502,15,"13,800",1,개인,개인,2016,청남로 1809-8,-,중개거래,세종,25.03.27
67,충청북도 청주시 서원구 사창동,191-1,191,1,(191-1),77.12,36,202502,11,"9,500",2,개인,개인,1980,천수로18번길 2,-,직거래,-,25.02.12
68,충청북도 청주시 서원구 산남동,9-51,51,9,"에코빌2차(3,4동)",73.255,87.8,202502,4,"10,000",2,개인,개인,2015,원흥로 11-19,-,직거래,-,25.02.11
69,충청북도 청주시 서원구 사창동,244-2,244,2,한독유니빌,154.61,72.7938,202501,24,"20,000",4,개인,개인,2004,예체로139번길 21,-,직거래,-,25.02.19
70,충청북도 청주시 서원구 수곡동,171-13,171,13,명보,62.04,55.05,202501,22,"6,000",3,개인,개인,1986,구룡산로330번길 5,-,직거래,-,25.01.22
71,충청북도 청주시 서원구 수곡동,171-13,171,13,명보,62.04,55.05,202501,13,"5,700",2,개인,개인,1986,구룡산로330번길 5,-,중개거래,충북 청주시 서원구,25.02.19
72,충청북도 청주시 서원구 사창동,248-10,248,10,동신,41.39,50.6,202501,2,"2,760",2,개인,개인,1979,천석로 22,-,직거래,-,25.02.13
73,충청북도 청주시 서원구 사창동,187-7,187,7,동남6차,59.72,43.81,202501,2,"6,900",4,개인,개인,1993,천수로40번가길 9-2,-,중개거래,충북 청주시 서원구,25.01.02
74,충청북도 청주시 서원구 모충동,505-20,505,20,협성빌라,41,28.29,202501,1,"5,000",1,개인,개인,1990,호국로3번길 47,-,직거래,-,25.01.03
75,충청북도 청주시 서원구 사창동,207-1,207,1,동신(마),50.45,28,202412,23,"7,400",1,개인,개인,1980,천수로 14-2,-,중개거래,충북 청주시 서원구,25.03.04
76,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,68.77,76.18,202412,22,"13,500",3,개인,개인,2017,청남로 1233-6,-,직거래,-,25.01.06
77,충청북도 청주시 서원구 사창동,298-7,298,7,오양,55.04,50,202412,12,"4,500",2,개인,개인,1979,사직대로176번길 32,-,중개거래,충북 청주시 서원구,24.12.12
78,충청북도 청주시 서원구 남이면 가마리,30-20,30,20,힐데스빌2단지,84.0438,99.18,202412,4,"15,200",1,개인,개인,2016,청남로 1809-8,-,중개거래,충북 청주시 흥덕구,24.12.12
79,충청북도 청주시 서원구 개신동,443-35,443,35,창대아트빌라,24.115,14.822,202412,2,"2,130",4,개인,개인,1995,모충로44번길 25,-,중개거래,충북 청주시 서원구,24.12.23
80,충청북도 청주시 서원구 죽림동,136-3,136,3,그린하우스,59.03,81.375,202411,28,"14,500",3,개인,개인,2013,대림로421번길 95-14,-,직거래,-,24.11.29
81,충청북도 청주시 서원구 수곡동,3-71,71,3,수곡연립,51.03,53.49,202411,27,"5,000",2,개인,개인,1982,수영로8번길 17,-,직거래,-,24.11.27
82,충청북도 청주시 서원구 사창동,323-1,323,1,에스텔HOUSE,68.43,53.36,202411,20,"16,600",3,개인,개인,2015,창신로22번길 65-10,-,직거래,-,24.12.17
83,충청북도 청주시 서원구 수곡동,03월 24일,24,3,수곡,61.72,66,202411,16,"6,700",2,개인,개인,1979,수영로 51,-,직거래,-,24.12.09
84,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,68.77,76.18,202410,23,"11,000",1,법인,법인,2017,청남로 1233-6,-,직거래,-,24.10.25
85,충청북도 청주시 서원구 장성동,04월 02일,4,2,보람주택,49.66,79.67,202410,22,"7,000",3,개인,개인,1992,궁뜰로 47-1,-,중개거래,충북 청주시 서원구,24.12.09
86,충청북도 청주시 서원구 모충동,462-1,462,1,잉꼬나동,45.87,34.78,202410,7,"3,800",3,개인,개인,1990,매봉로 193-23,-,중개거래,충북 청주시 서원구,24.12.20
87,충청북도 청주시 서원구 수곡동,23-34,23,34,흥덕나동,36.06,21.7625,202410,7,"2,800",2,개인,개인,1989,청남로2064번길 88,-,중개거래,충북 청주시 서원구,24.11.04
88,충청북도 청주시 서원구 사직동,263-53,263,53,태광빌라,51.31,34.275,202410,3,"12,950",3,개인,개인,1991,호국로120번길 32-1,-,중개거래,충북 청주시 서원구,24.10.11
89,충청북도 청주시 서원구 죽림동,137-1,137,1,그린하우스,50.79,71.875,202409,19,"15,000",2,개인,개인,2013,대림로421번길 99,-,직거래,-,24.09.20
90,충청북도 청주시 서원구 개신동,443-6,443,6,서우,59.1,57.46,202409,11,"9,000",2,개인,개인,1987,모충로 44-2,-,직거래,-,24.09.25
91,충청북도 청주시 서원구 수곡동,1-62,62,1,이지네스트,68.59,54.275,202409,2,"13,500",3,개인,개인,2012,청남로2036번길 76,-,중개거래,충북 청주시 서원구,24.09.30
92,충청북도 청주시 서원구 분평동,292-6,292,6,(292-6),69.69,55.7,202408,15,"12,000",4,개인,개인,2015,매봉로2번길 39-5,-,중개거래,"충북 청주시 상당구, 충북 청주시 서원구",24.11.08
93,충청북도 청주시 서원구 수곡동,3-71,71,3,수곡연립,45.58,47.78,202408,11,"4,900",2,개인,개인,1982,수영로8번길 17,-,직거래,-,24.08.30
94,충청북도 청주시 서원구 사직동,640-20,640,20,동원A,73.56,61.16,202408,8,"15,500",3,개인,개인,1984,호국로 39,-,중개거래,충북 청주시 서원구,24.10.30
95,충청북도 청주시 서원구 사창동,248-10,248,10,동신,54.41,56.2,202407,23,"7,200",1,개인,기타,1979,천석로 22,-,중개거래,충북 청주시 서원구,24.09.26
96,충청북도 청주시 서원구 사창동,508,508,0,동구주택(508-0),80.28,59.88,202407,12,"9,800",3,개인,개인,1997,1순환로704번길 38,-,중개거래,충북 청주시 서원구,24.08.26
97,충청북도 청주시 서원구 성화동,225-13,225,13,성화베리굿,69.639,122.5,202407,8,"10,500",1,개인,개인,2014,2순환로1502번길 21,-,직거래,-,24.07.12
98,충청북도 청주시 서원구 성화동,225-13,225,13,성화베리굿,69.639,122.5,202407,8,"10,500",4,개인,개인,2014,2순환로1502번길 21,-,직거래,-,24.07.12
99,충청북도 청주시 서원구 사창동,290-15,290,15,늘봄,54.81,61.01,202407,6,"8,700",1,개인,개인,1985,창신로22번길 51,-,중개거래,충북 청주서원구,24.07.30
100,충청북도 청주시 서원구 남이면 가마리,30-16,30,16,힐데스빌1단지,84.6768,132.79,202407,1,"15,200",3,개인,개인,2016,2순환로 1725,-,중개거래,세종,24.07.31
