주소,면적,금액,월세,타입,위도 ,경도
충청북도 청주시 서원구 개신동 신율로 43,84.75,25000,0,아파트(매매),36.6220885,127.4452288
충청북도 청주시 서원구 개신동 성봉로220번길 23,71.175,15500,0,아파트(매매),36.6246524,127.4506001
충청북도 청주시 서원구 분평동 1순환로1137번길 19,84.34,23800,0,아파트(매매),36.6074206,127.4916552
충청북도 청주시 서원구 남이면 가마리 2순환로 1717,84.9114,31750,0,아파트(매매),36.5983248,127.4693229
충청북도 청주시 서원구 개신동 경신로 67,59.9,17000,0,아파트(매매),36.6225849,127.4484175
충청북도 청주시 서원구 사창동 예체로67번길 49,24.48,400,40,아파트(전월세),36.6321065,127.4658127
충청북도 청주시 서원구 모충동 쌍샘로 22,74.77,25000,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 남들로35번길 61,41.82,500,45,아파트(전월세),36.6213749,127.4808332
충청북도 청주시 서원구 사직동 창직로 50,123.44,35500,0,아파트(전월세),36.6296746,127.4668128
충청북도 청주시 서원구 분평동 월평로 25,59.29,14500,0,아파트(전월세),36.6119488,127.4879026
충청북도 청주시 서원구 분평동 분평로 88-1,59.71,12800,8,아파트(전월세),36.6072406,127.4955885
충청북도 청주시 서원구 분평동 1순환로1137번길 130,59.99,5000,40,아파트(전월세),36.6126277,127.4941736
충청북도 청주시 서원구 분평동 1순환로 1059,35.64,1000,50,오피스텔(전월세),36.6067306,127.4842794
충청북도 청주시 서원구 성화동 장전로 89,56.95,12000,0,오피스텔(전월세),36.6177264,127.4578914
충청북도 청주시 청원구 율량동 율량로201번길,55,1000,70,단독다가구(전월세),36.664887,127.5003308
충청북도 청주시 청원구 오창읍 양청리 양청6길,45,500,57,단독다가구(전월세),36.7251686,127.434518
충청북도 청주시 청원구 오창읍 양청리 양청길,23.14,3500,0,단독다가구(전월세),36.7181131,127.4251107
충청북도 청주시 청원구 오창읍 양청리 양청택지로,50,500,48,단독다가구(전월세),36.7188273,127.42097
충청북도 청주시 청원구 율량동 율중로,49.5,1000,65,단독다가구(전월세),36.6599194,127.5078857
충청북도 청주시 청원구 내수읍 은곡리 은곡묵방길 28,38.61,2850,0,아파트(매매),36.709938,127.5252976
충청북도 청주시 청원구 내덕동 공항로84번길 30,84.9226,28000,0,아파트(매매),36.6648504,127.4883268
충청북도 청주시 청원구 율량동 사뜸로52번길 15,34.79,5200,0,아파트(매매),36.6672826,127.4817361
충청북도 청주시 청원구 내수읍 은곡리 은곡묵방길 28,38.61,2850,0,아파트(매매),36.709938,127.5252976
충청북도 청주시 청원구 사천동 율봉로 7,157.3915,50000,0,아파트(매매),36.6628285,127.4711397
충청북도 청주시 청원구 사천동 율봉로 8,84.0541,31500,0,아파트(매매),36.6613541,127.472749
충청북도 청주시 청원구 내수읍 은곡리 은곡묵방길 28,38.61,2850,0,아파트(매매),36.709938,127.5252976
충청북도 청주시 청원구 내수읍 은곡리 은곡묵방길 28,38.61,2850,0,아파트(매매),36.709938,127.5252976
충청북도 청주시 청원구 주성동 율량로 135,105.736,62300,0,아파트(매매),36.6707358,127.5006827
충청북도 청주시 청원구 율량동 사뜸로52번길 15,34.79,5750,0,아파트(매매),36.6672826,127.4817361
충청북도 청주시 청원구 오창읍 각리 오창중앙로 65,59.9101,18900,0,아파트(전월세),36.7052817,127.423303
충청북도 청주시 청원구 율량동 주성로96번길 12,30.33,3800,0,아파트(전월세),36.6678639,127.4778458
충청북도 청주시 청원구 내덕동 충청대로84번길 30,84.915,31000,0,아파트(전월세),36.6634932,127.4951652
충청북도 청주시 청원구 오창읍 각리 오창공원로 96,84.9922,34000,0,아파트(전월세),36.7131077,127.4225889
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.7462,16542,0,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단로 160,72.8994,2000,90,아파트(전월세),36.7344741,127.4532889
충청북도 청주시 청원구 오창읍 각리 오창중앙로 65,84.9812,24500,0,아파트(전월세),36.7052817,127.423303
충청북도 청주시 흥덕구 봉명동 덕암로71번길,30,200,35,단독다가구(전월세),36.6530557,127.4626248
충청북도 청주시 흥덕구 오송읍 봉산리 봉산2길,23.04,1000,45,단독다가구(전월세),36.6210924,127.3189883
충청북도 청주시 흥덕구 비하동 청향로6번길,25,500,45,단독다가구(전월세),36.6386118,127.4217516
충청북도 청주시 흥덕구 복대동 복대로146번길,55,4700,0,단독다가구(전월세),36.6295996,127.4437758
충청북도 청주시 흥덕구 봉명동 봉명로126번길,23.1,200,30,단독다가구(전월세),36.6376968,127.4555912
충청북도 청주시 흥덕구 봉명동 덕암로59번길,42.9,200,48,단독다가구(전월세),36.6544375,127.4606144
충청북도 청주시 흥덕구 봉명동 봉명로113번길,30,100,45,단독다가구(전월세),36.6395026,127.4544541
충청북도 청주시 흥덕구 봉명동 봉명로,25,300,45,단독다가구(전월세),36.6389982,127.4544288
충청북도 청주시 흥덕구 봉명동 덕암로12번길,30,300,40,단독다가구(전월세),36.6514474,127.4555403
충청북도 청주시 흥덕구 봉명동 덕암로47번길,28,200,45,단독다가구(전월세),36.6555949,127.4595223
충청북도 청주시 흥덕구 봉명동 덕암로71번길,39,500,60,단독다가구(전월세),36.6530557,127.4626248
충청북도 청주시 흥덕구 봉명동 덕암로71번길,55,300,70,단독다가구(전월세),36.6530557,127.4626248
충청북도 청주시 흥덕구 오송읍 연제리 연제길,30,5000,0,단독다가구(전월세),36.6264553,127.3200245
충청북도 청주시 흥덕구 가경동 가경로101번길,48.8,14000,0,단독다가구(전월세),36.6240594,127.438077
충청북도 청주시 흥덕구 가경동 경산로43번길,50.21,500,61,단독다가구(전월세),36.6252071,127.4366699
충청북도 청주시 흥덕구 오송읍 봉산리 봉산3길,105.56,16000,0,단독다가구(전월세),36.6233271,127.3176887
충청북도 청주시 흥덕구 봉명동 백봉로,23.5,500,56,단독다가구(전월세),36.6498224,127.449979
충청북도 청주시 흥덕구 가경동 가경로 64,84.94,25600,0,아파트(매매),36.6214503,127.4424656
충청북도 청주시 흥덕구 복대동 대신로10번길 16-3,181.0925,41600,0,아파트(매매),36.6336753,127.4379175
충청북도 청주시 흥덕구 옥산면 가락리 오송가락로 1056,84.988,32000,0,아파트(매매),36.670489,127.3840508
충청북도 청주시 흥덕구 옥산면 가락리 오송가락로 1056,84.963,34000,0,아파트(매매),36.670489,127.3840508
충청북도 청주시 흥덕구 가경동 풍년로 40,84.91,27000,0,아파트(매매),36.6179461,127.4403121
충청북도 청주시 흥덕구 강서동 서부로 1123,84.7993,59300,0,아파트(매매),36.6176842,127.4208609
충청북도 청주시 흥덕구 가경동 가경로 26,59.92,17700,0,아파트(매매),36.6186491,127.4436184
충청북도 청주시 흥덕구 복대동 증안로 33,59.9238,21400,0,아파트(매매),36.637382,127.4269354
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.8447,35700,0,아파트(매매),36.6223386,127.3184637
충청북도 청주시 흥덕구 강내면 월곡리 탑연월곡길 86-10,46.11,5000,0,아파트(매매),36.6236794,127.3649561
충청북도 청주시 흥덕구 송절동 송화로214번길 29,84.9821,49000,0,아파트(매매),36.6681232,127.4589082
충청북도 청주시 흥덕구 강서동 강서로 101,33.42,500,50,아파트(전월세),36.6247372,127.4275737
충청북도 청주시 흥덕구 봉명동 월명로 114,59.67,1000,60,아파트(전월세),36.644475,127.4542792
충청북도 청주시 흥덕구 가경동 경신로 9,51.49,3509,10,아파트(전월세),36.6203465,127.4430771
충청북도 청주시 흥덕구 가경동 풍산로89번길 31,59.94,11000,0,아파트(전월세),36.6292436,127.4384146
충청북도 청주시 흥덕구 복대동 증안로 33,59.9238,2000,80,아파트(전월세),36.637382,127.4269354
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로 283,84.9924,25500,0,아파트(전월세),36.6213379,127.3120193
충청북도 청주시 흥덕구 문암동 송화로 229,84.9664,40000,0,아파트(전월세),36.66747,127.451927
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명8로 178,59.9406,15270,0,아파트(전월세),36.6193122,127.3110625
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명8로 178,59.9406,15270,0,아파트(전월세),36.6193122,127.3110625
충청북도 청주시 흥덕구 문암동 송화로 229,59.9721,31000,0,아파트(전월세),36.66747,127.451927
충청북도 청주시 흥덕구 복대동 사직대로 62,15.36,300,38,연립다세대(전월세),36.6342826,127.4541658
충청북도 청주시 흥덕구 복대동 진재로 131,30.33,500,60,오피스텔(전월세),36.642967,127.4309093
충청북도 청주시 흥덕구 강서동 가로수로1164번길 41-33,20.47,4500,0,오피스텔(전월세),36.6265,127.4281104
충청북도 청주시 상당구 탑동 탑동로1번길,30,200,30,단독다가구(전월세),36.630603,127.4945369
충청북도 청주시 상당구 방서동 동남로 15,84.9687,40000,0,아파트(매매),36.6029748,127.508471
충청북도 청주시 상당구 영운동 단재로95번길 40,22.93,2600,0,아파트(매매),36.6209741,127.4989187
충청북도 청주시 상당구 영운동 영운천로51번길 26,38.72,4500,0,아파트(매매),36.6184955,127.5041446
충청북도 청주시 상당구 미원면 미원리 단재로 2483-6,56.12,5600,0,아파트(매매),36.6375261,127.6592078
충청북도 청주시 상당구 용담동 호미로 330,167.5642,43000,0,아파트(매매),36.6360239,127.5100038
충청북도 청주시 상당구 금천동 중고개로 288,48.3895,12400,0,아파트(매매),36.6294851,127.5085332
충청북도 청주시 상당구 용암동 중고개로142번길 17,84.9823,46500,0,아파트(매매),36.6192044,127.5180737
충청북도 청주시 상당구 용암동 중흥로 70,133.89,27800,0,아파트(매매),36.6112678,127.5050054
충청북도 청주시 상당구 용담동 호미로 329,59.987,17200,0,아파트(매매),36.6351813,127.5080395
충청북도 청주시 상당구 금천동 꽃산동로 41,59.96,9000,0,아파트(전월세),36.6223505,127.5090102
충청북도 청주시 상당구 금천동 꽃산동로 15-1,58.68,7200,0,아파트(전월세),36.6247016,127.5096737
충청북도 청주시 상당구 용암동 중고개로142번길 31,84.9823,3000,140,아파트(전월세),36.619898,127.520258
충청북도 청주시 상당구 영운동 영운천로 15,56.25,7500,0,연립다세대(매매),36.6163486,127.5015356
충청북도 청주시 서원구 사직동 대원로31번길,140.18,7500,0,단독다가구(전월세),36.6415872,127.4799209
충청북도 청주시 서원구 수곡동 수곡로67번길,19.35,200,15,단독다가구(전월세),36.6174011,127.4711241
충청북도 청주시 서원구 모충동 쌍샘로 22,84.88,35500,0,아파트(매매),36.6276735,127.4803989
충청북도 청주시 서원구 수곡동 수곡로 36,59.4,12000,0,아파트(매매),36.6156758,127.4749723
