"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"57","충청북도 청주시 흥덕구 가경동","1***","12m미만","97.72","월세","202510","28","500","30","2002","장구봉로26번길","202510~202610","갱신","-","9,000","0","단독다가구"
"58","충청북도 청주시 흥덕구 봉명동","2***","25m미만","45.00","월세","202510","28","500","71","2014","월명로178번길","202510~202610","신규","-","","","단독다가구"
"59","충청북도 청주시 흥덕구 봉명동","7**","8m미만","49.94","전세","202510","28","7,000","0","2004","1순환로549번길","202511~202711","신규","-","","","단독다가구"
"60","충청북도 청주시 흥덕구 봉명동","2***","12m미만","59.00","월세","202510","28","500","70","2005","덕암로71번길","202510~202603","신규","-","","","단독다가구"
"61","충청북도 청주시 흥덕구 운천동","1***","25m미만","42.00","전세","202510","28","5,000","0","2013","운천로","-","-","-","","","단독다가구"
"62","충청북도 청주시 흥덕구 복대동","2***","12m미만","110.00","월세","202510","28","3,000","80","2004","진재로35번길","202511~202611","신규","-","","","단독다가구"
"63","충청북도 청주시 흥덕구 복대동","2***","12m미만","45.00","월세","202510","28","500","29","2004","진재로23번길","202510~202610","갱신","-","3,500","0","단독다가구"
"64","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","40.00","월세","202510","28","500","60","2020","오송생명12로","202510~202610","갱신","-","500","55","단독다가구"
"65","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","40.42","월세","202510","28","2,500","59","2025","봉산2길","202510~202610","신규","-","","","단독다가구"
"66","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","66.00","전세","202510","28","12,000","0","2018","오송생명14로","202511~202711","갱신","-","12,000","0","단독다가구"
"67","충청북도 청주시 흥덕구 봉명동","1***","25m미만","25.00","월세","202510","27","500","56","2025","백봉로","202510~202610","신규","-","","","단독다가구"
"68","충청북도 청주시 흥덕구 오송읍 연제리","8**","12m미만","30.00","전세","202510","27","3,700","0","2012","연제길","202511~202711","갱신","-","3,500","0","단독다가구"
"69","충청북도 청주시 흥덕구 운천동","1***","8m미만","163.38","월세","202510","27","500","40","1988","사운로206번길","202510~202710","신규","-","","","단독다가구"
"70","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","25.89","월세","202510","27","1,000","55","2023","봉산1길","202511~202610","신규","-","","","단독다가구"
"71","충청북도 청주시 흥덕구 가경동","1***","8m미만","74.53","전세","202510","27","8,500","0","2011","서현중로31번길","202511~202711","신규","-","","","단독다가구"
"72","충청북도 청주시 흥덕구 복대동","7*","8m미만","30.51","월세","202510","27","2,000","75","","월명로35번길","202510~202710","신규","-","","","단독다가구"
"73","충청북도 청주시 흥덕구 복대동","3***","12m미만","34.10","월세","202510","27","300","65","2007","진재로103번길","202510~202610","신규","-","","","단독다가구"
"74","충청북도 청주시 흥덕구 봉명동","2***","25m미만","30.00","월세","202510","27","200","35","2014","덕암로","202511~202611","신규","-","","","단독다가구"
"75","충청북도 청주시 흥덕구 봉명동","2**","25m미만","30.00","월세","202510","27","300","47","2004","봉명로","202510~202610","신규","-","","","단독다가구"
"76","충청북도 청주시 흥덕구 봉명동","5**","12m미만","39.67","월세","202510","27","400","50","2016","1순환로535번길","202510~202610","신규","-","","","단독다가구"
"77","충청북도 청주시 흥덕구 오송읍 오송리","2**","25m이상","73.92","월세","202510","26","500","50","1988","가로수로","202510~202710","신규","-","","","단독다가구"
"78","충청북도 청주시 흥덕구 봉명동","2***","12m미만","28.09","월세","202510","26","300","35","2018","덕암로103번길","202510~202610","신규","-","","","단독다가구"
"79","충청북도 청주시 흥덕구 봉명동","2***","12m미만","23.00","월세","202510","26","0","50","2018","덕암로35번길","202510~202710","신규","-","","","단독다가구"
