□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,
NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
106,충청북도 청주시 상당구 용암동,1***,12m미만,25,월세,202509,26,300,30,2001,월평로150번길,202510~202610,신규,-,,,단독다가구
107,충청북도 청주시 상당구 용암동,3***,12m미만,87.71,월세,202509,25,"3,000",80,2021,중고개로141번길,202510~202610,신규,-,,,단독다가구
108,충청북도 청주시 상당구 용정동,7**,12m미만,22,월세,202509,25,200,50,2003,중고개로212번길,202510~202603,신규,-,,,단독다가구
109,충청북도 청주시 상당구 용정동,7**,12m미만,45,월세,202509,25,500,50,2004,영운천로179번길,202509~202609,신규,-,,,단독다가구
110,충청북도 청주시 상당구 용암동,1***,12m미만,39,월세,202509,25,400,45,1996,월평로210번길,202510~202710,신규,-,,,단독다가구
111,충청북도 청주시 상당구 용암동,3***,25m미만,20,월세,202509,25,"1,500",45,2021,동남로109번길,-,-,-,,,단독다가구
112,충청북도 청주시 상당구 용암동,1***,12m미만,23.1,월세,202509,25,100,20,1999,용암북로46번길,202509~202609,신규,-,,,단독다가구
113,충청북도 청주시 상당구 용암동,3***,12m미만,26.69,월세,202509,25,"2,500",53,2023,중고개로141번길,202510~202610,신규,-,,,단독다가구
114,충청북도 청주시 상당구 용암동,3***,12m미만,59.38,월세,202509,25,"2,500",70,2022,동남로73번길,202510~202710,신규,-,,,단독다가구
115,충청북도 청주시 상당구 용암동,2***,12m미만,23.1,월세,202509,24,300,30,2009,호미로161번길,202509~202609,신규,-,,,단독다가구
116,충청북도 청주시 상당구 용암동,3***,12m미만,85.57,전세,202509,24,"17,000",0,2020,중고개로141번길,202510~202710,신규,-,,,단독다가구
