"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"75","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","27","6,320","0","4","2023","직지대로 551","202512~202712","갱신","-","6,320","0","아파트"
"76","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","27","6,320","0","9","2023","직지대로 551","202512~202712","갱신","-","6,320","0","아파트"
"77","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","27","6,320","0","13","2023","직지대로 551","202512~202711","갱신","-","3,792","8","아파트"
"78","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","27.7517","202510","27","8,144","0","3","2023","직지대로 551","202512~202712","갱신","-","8,240","0","아파트"
"79","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","월세","21.0286","202510","27","1,896","14","10","2023","직지대로 551","202512~202712","갱신","-","1,896","14","아파트"
"80","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","월세","21.0286","202510","27","5,056","4","5","2023","직지대로 551","202512~202712","갱신","-","5,056","4","아파트"
"81","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","월세","27.7517","202510","27","4,886","10","10","2023","직지대로 551","202512~202712","갱신","-","4,944","10","아파트"
"82","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","27","6,320","0","5","2023","직지대로 551","202512~202712","갱신","-","6,320","0","아파트"
"83","충청북도 청주시 흥덕구 오송읍 봉산리","1527","1527","0000","오송역동아라이크텐","전세","84.9919","202510","27","27,000","0","7","2020","오송생명14로 215","202511~202711","신규","-","","","아파트"
"84","충청북도 청주시 흥덕구 옥산면 가락리","953","0953","0000","흥덕코오롱하늘채아파트","전세","59.9318","202510","26","16,500","0","14","2016","가락길 60","202511~202711","신규","-","","","아파트"
"85","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.9800","202510","26","28,800","0","22","2023","오송생명7로 151","202512~202712","신규","-","","","아파트"
"86","충청북도 청주시 흥덕구 복대동","3405","3405","0000","더샵청주센트럴","전세","84.9600","202510","26","35,100","0","21","2025","복대로 220","202604~202804","갱신","사용","33,500","0","아파트"
"87","충청북도 청주시 흥덕구 복대동","3367","3367","0000","어울림","전세","123.6100","202510","26","42,000","0","19","2009","대신로74번길 21","202602~202802","신규","-","","","아파트"
"88","충청북도 청주시 흥덕구 비하동","809","0809","0000","청주비하계룡리슈빌2차","전세","155.3889","202510","25","36,000","0","2","2009","비하로57번길 37","202602~202802","신규","-","","","아파트"
"89","충청북도 청주시 흥덕구 강서동","482","0482","0000","강서베리굿2차","월세","26.8205","202510","25","500","50","16","2016","강서로 111","202511~202610","신규","-","","","아파트"
"90","충청북도 청주시 흥덕구 강서동","470","0470","0000","나보나시티","전세","29.8600","202510","25","11,000","0","10","2021","가로수로1164번길 41-28","202512~202712","신규","-","","","아파트"
"91","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","전세","59.3291","202510","25","18,000","0","13","2003","증안로 21","202512~202712","신규","-","","","아파트"
"92","충청북도 청주시 흥덕구 송절동","1196","1196","0000","청주테크노폴리스힐데스하임","전세","84.9900","202510","25","34,000","0","27","2025","송화로 115","202511~202711","신규","-","","","아파트"
"93","충청북도 청주시 흥덕구 송절동","851","0851","0000","청주테크노폴리스푸르지오","월세","84.9950","202510","25","3,000","130","14","2018","송화로214번길 7","202512~202701","신규","-","","","아파트"
"94","충청북도 청주시 흥덕구 복대동","3379","3379","0000","신영지웰시티1차","전세","124.8160","202510","25","68,000","0","33","2010","대농로 17","202511~202711","신규","-","","","아파트"
"95","충청북도 청주시 흥덕구 복대동","3379","3379","0000","신영지웰시티1차","월세","124.8160","202510","25","20,000","230","7","2010","대농로 17","202601~202801","신규","-","","","아파트"
"96","충청북도 청주시 흥덕구 옥산면 가락리","981","0981","0000","청주리버파크자이","월세","84.9330","202510","25","2,000","110","16","2019","오송가락로 1056","202601~202801","신규","-","","","아파트"
"97","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.9800","202510","25","26,000","0","18","2023","오송생명7로 151","202511~202711","신규","-","","","아파트"
"98","충청북도 청주시 흥덕구 복대동","3379","3379","0000","신영지웰시티1차","전세","152.6520","202510","25","78,750","0","25","2010","대농로 17","202602~202802","갱신","사용","75,000","0","아파트"
"99","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.8447","202510","25","21,000","0","7","2023","오송생명7로 151","202511~202711","갱신","-","20,000","0","아파트"
"100","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.9800","202510","25","26,000","0","18","2023","오송생명7로 151","202511~202711","신규","-","","","아파트"
"101","충청북도 청주시 흥덕구 오송읍 봉산리","1530","1530","0000","오송역서한이다음노블리스","전세","150.6402","202510","25","41,000","0","15","2025","오송생명14로 217","202511~202711","신규","-","","","아파트"
"102","충청북도 청주시 흥덕구 오송읍 봉산리","1530","1530","0000","오송역서한이다음노블리스","월세","134.4924","202510","25","5,000","150","16","2025","오송생명14로 217","202512~202712","신규","-","","","아파트"
"103","충청북도 청주시 흥덕구 송절동","851","0851","0000","청주테크노폴리스푸르지오","전세","84.9950","202510","24","38,000","0","16","2018","송화로214번길 7","202601~202801","신규","-","","","아파트"
"104","충청북도 청주시 흥덕구 가경동","2276","2276","0000","청주가경아이파크3단지","전세","84.8400","202510","24","46,000","0","17","2021","서현로 62","202602~202802","신규","-","","","아파트"
"105","충청북도 청주시 흥덕구 복대동","3381","3381","0000","두산위브지웰시티2차","월세","80.1350","202510","24","3,000","200","31","2015","대농로 55","202511~202711","신규","-","","","아파트"
"106","충청북도 청주시 흥덕구 송절동","850","0850","0000","테크노폴리스우미린","월세","84.9361","202510","24","3,000","130","9","2018","송화로214번길 29","202512~202802","신규","-","","","아파트"
"107","충청북도 청주시 흥덕구 오송읍 봉산리","1531","1531","0000","오송역대광로제비앙그랜드센텀","전세","84.9924","202510","24","25,500","0","4","2024","오송생명14로 283","202510~202710","신규","-","","","아파트"
"108","충청북도 청주시 흥덕구 복대동","3379","3379","0000","신영지웰시티1차","월세","124.8160","202510","24","1,000","280","7","2010","대농로 17","202511~202602","신규","-","","","아파트"
"109","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","전세","59.2930","202510","24","18,000","0","9","2003","증안로 21","202604~202804","갱신","사용","17,400","0","아파트"
"110","충청북도 청주시 흥덕구 송절동","850","0850","0000","테크노폴리스우미린","전세","84.9361","202510","24","35,000","0","1","2018","송화로214번길 29","202601~202802","신규","-","","","아파트"
"111","충청북도 청주시 흥덕구 강서동","522","0522","0000","레지던스마리2","전세","49.6600","202510","24","9,000","0","4","2013","서현동로 16-1","202511~202711","신규","-","","","아파트"
"112","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","월세","27.7500","202510","24","1,000","70","26","2017","2순환로 1222","202511~202611","신규","-","","","아파트"
"113","충청북도 청주시 흥덕구 오송읍 연제리","731","0731","0000","오송상록롯데캐슬","전세","84.9330","202510","24","26,000","0","24","2010","오송생명5로 202","202510~202712","갱신","-","26,000","0","아파트"
"114","충청북도 청주시 흥덕구 강서동","472","0472","0000","우양센트럴","월세","28.8684","202510","24","5,000","22","6","2016","가로수로1164번길 41-44","202512~202711","갱신","사용","5,000","20","아파트"
"115","충청북도 청주시 흥덕구 비하동","300","0300","0000","효성아파트","전세","59.9000","202510","24","11,000","0","5","1995","2순환로1050번길 39","202511~202711","신규","-","","","아파트"
"116","충청북도 청주시 흥덕구 비하동","300","0300","0000","효성아파트","월세","45.3200","202510","24","500","60","10","1995","2순환로1050번길 13-14","202511~202610","신규","-","","","아파트"
"117","충청북도 청주시 흥덕구 강서동","522","0522","0000","레지던스마리2","전세","49.6600","202510","24","9,000","0","7","2013","서현동로 16-1","202510~202710","신규","-","","","아파트"
"118","충청북도 청주시 흥덕구 강서동","472","0472","0000","우양센트럴","월세","22.4640","202510","24","300","47","26","2016","가로수로1164번길 41-44","202510~202610","신규","-","","","아파트"
"119","충청북도 청주시 흥덕구 옥산면 가락리","953","0953","0000","흥덕코오롱하늘채아파트","월세","59.9318","202510","23","2,000","70","7","2016","가락길 60","202511~202711","신규","-","","","아파트"
"120","충청북도 청주시 흥덕구 오송읍 연제리","740","0740","0000","오송대원칸타빌","전세","84.9922","202510","23","24,000","0","6","2011","연제만수길 17","202511~202711","신규","-","","","아파트"
"121","충청북도 청주시 흥덕구 신봉동","310","0310","0000","삼정백조","전세","59.9400","202510","23","11,000","0","1","1995","1순환로513번길 33","202511~202711","신규","-","","","아파트"
"122","충청북도 청주시 흥덕구 신봉동","529","0529","0000","한성","전세","54.6300","202510","23","5,900","0","5","1988","1순환로 451","-","-","-","","","아파트"
"123","충청북도 청주시 흥덕구 오송읍 봉산리","1530","1530","0000","오송역서한이다음노블리스","전세","150.6402","202510","23","38,000","0","2","2025","오송생명14로 217","202512~202712","신규","-","","","아파트"
"124","충청북도 청주시 흥덕구 복대동","3381","3381","0000","두산위브지웰시티2차","전세","80.1350","202510","23","40,000","0","4","2015","대농로 55","202512~202712","갱신","사용","40,000","0","아파트"
"125","충청북도 청주시 흥덕구 강내면 탑연리","322-1","0322","0001","선광한빛","월세","31.6400","202510","23","300","30","3","1996","태성탑연로 391-34","202511~202610","신규","-","","","아파트"
"126","충청북도 청주시 흥덕구 운천동","676","0676","0000","형석","전세","39.6900","202510","23","4,000","0","3","1987","사운로 283","202510~202710","신규","-","","","아파트"
"127","충청북도 청주시 흥덕구 복대동","2009","2009","0000","세원","월세","84.8900","202510","22","4,000","50","1","1990","장구봉로101번길 45","202511~202711","신규","-","","","아파트"
"128","충청북도 청주시 흥덕구 복대동","3381","3381","0000","두산위브지웰시티2차","전세","80.4990","202510","22","40,950","0","41","2015","대농로 55","202512~202702","갱신","사용","39,000","0","아파트"
"129","충청북도 청주시 흥덕구 가경동","2220","2220","0000","청주가경IPARK1차","전세","72.5300","202510","22","40,000","0","26","2019","서현로 66","202601~202801","갱신","사용","40,000","0","아파트"
