"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"53","충청북도 청주시 흥덕구 봉명동","1451","1451","0000","주연5차A동","45.3900","39.9333","202504","13","4,800","3","개인","개인","1988","과상미로66번길 18","-","중개거래","충북 청주시 흥덕구","25.05.09"
"54","충청북도 청주시 흥덕구 봉명동","2318","2318","0000","더라움","72.1000","55.8400","202504","12","24,000","4","개인","개인","2013","송절로124번길 37","-","중개거래","충북 청주시 흥덕구","25.05.09"
"55","충청북도 청주시 흥덕구 오송읍 서평리","207-18","0207","0018","(207-18)","60.5400","52.3750","202504","02","11,500","1","개인","개인","2015","서평1길 183","20250704","중개거래","충북 청주시 흥덕구","-"
"56","충청북도 청주시 흥덕구 운천동","813-1","0813","0001","흥덕다동","45.7500","33.9000","202503","26","5,500","2","개인","개인","1988","흥덕로139번길 5","-","직거래","-","25.03.26"
"57","충청북도 청주시 흥덕구 봉명동","1584","1584","0000","금석B동","46.0800","37.9500","202503","26","6,200","2","개인","개인","1989","백봉로220번길 81","-","중개거래","충북 청주시 흥덕구","25.04.02"
"58","충청북도 청주시 흥덕구 오송읍 쌍청리","108-22","0108","0022","쌍청리예당마을3동","59.9718","76.8518","202503","25","14,000","3","개인","개인","2017","쌍청2길 6-2","-","중개거래","충북 청주시 흥덕구","25.06.16"
"59","충청북도 청주시 흥덕구 봉명동","815","0815","0000","장미빌라","45.3600","41.8500","202503","21","6,250","2","개인","개인","1989","봉명로191번길 40-10","20250416","중개거래","충북 청주시 흥덕구","-"
"60","충청북도 청주시 흥덕구 강내면 탑연리","150-21","0150","0021","푸르미르","29.8442","9.9800","202503","21","2,900","4","개인","개인","2012","탑연1길 13","-","중개거래","충북 청주시 흥덕구","25.03.28"
"61","충청북도 청주시 흥덕구 복대동","39-12","0039","0012","재원가동","49.6700","36.0000","202503","19","5,300","3","개인","개인","1990","복대로200번길 64","-","중개거래","충북 청주시 흥덕구","25.04.28"
"62","충청북도 청주시 흥덕구 신봉동","341","0341","0000","나산아트빌","54.1800","41.1400","202503","17","9,000","2","개인","개인","2013","1순환로549번길 113-16","-","중개거래","충북 청주시 흥덕구","25.03.19"
"63","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","53.5500","47.6900","202503","14","7,000","3","개인","개인","2012","송절로124번길 55","-","중개거래","충북 청주시 흥덕구","25.05.23"
"64","충청북도 청주시 흥덕구 복대동","974-3","0974","0003","동구(974-3)","82.0300","51.7700","202503","06","14,400","3","개인","개인","1995","복대로163번길 10-1","-","중개거래","충북 청주시 흥덕구","25.05.26"
"65","충청북도 청주시 흥덕구 비하동","381-6","0381","0006","(381-6)","52.7100","54.7352","202503","05","4,000","-1","개인","개인","2003","부모산로43번길 19-3","-","직거래","-","25.03.06"
"66","충청북도 청주시 흥덕구 봉명동","1129","1129","0000","중앙빌라","46.2400","35.0000","202503","05","4,500","1","개인","개인","1988","봉명로204번길 12","-","직거래","-","25.03.06"
"67","충청북도 청주시 흥덕구 오송읍 쌍청리","108-22","0108","0022","쌍청리예당마을3동","59.9718","76.8518","202502","28","13,500","2","개인","개인","2017","쌍청2길 6-2","-","중개거래","충북 청주시 흥덕구","25.04.09"
"68","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","53.5500","47.6900","202502","23","6,800","2","개인","개인","2012","송절로124번길 55","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구","25.05.09"
"69","충청북도 청주시 흥덕구 운천동","939","0939","0000","극동6차","46.0800","31.9500","202502","21","5,000","2","개인","개인","1989","흥덕로108번길 7-4","-","중개거래","충북 청주시 흥덕구","25.02.25"
"70","충청북도 청주시 흥덕구 운천동","750","0750","0000","남광주택","46.1400","40.1800","202502","20","4,900","1","개인","개인","1989","흥덕로145번길 17","-","중개거래","충북 청주시 흥덕구","25.04.07"
"71","충청북도 청주시 흥덕구 운천동","944","0944","0000","극동나동","45.9600","33.5800","202502","14","4,000","2","개인","개인","1989","사운로187번길 64-9","-","중개거래","충북 청주시 흥덕구","25.04.18"
"72","충청북도 청주시 흥덕구 봉명동","2308","2308","0000","(2308-0)","75.2400","58.3200","202501","19","19,700","3","개인","개인","2015","송절로124번길 36","-","중개거래","충북 청주시 흥덕구","25.03.31"
"73","충청북도 청주시 흥덕구 복대동","980-6","0980","0006","동양나동","46.0800","44.3300","202501","15","5,000","3","개인","개인","1989","가로수로1380번길 22","-","직거래","-","25.01.16"
"74","충청북도 청주시 흥덕구 복대동","2448","2448","0000","(2448-0)","84.3000","81.2400","202501","08","14,300","2","개인","개인","1992","신율로 77","-","중개거래","충북 청주시 흥덕구","25.03.07"
