□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
61,충청북도 청주시 청원구 율량동,2605,2605,0,율량금호어울림센트로,59.9396,202510,27,"31,900",-,25,개인,개인,2022,율천북로 91,-,중개거래,충북 청주시 청원구,-
62,충청북도 청주시 청원구 사천동,229-2,229,2,대창1차,49.5,202510,27,"11,700",-,10,개인,개인,1998,사뜸로61번길 106,-,중개거래,충북 청주시 청원구,-
63,충청북도 청주시 청원구 사천동,229-2,229,2,대창1차,49.5,202510,27,"10,000",-,13,개인,개인,1998,사뜸로61번길 106,-,중개거래,충북 청주시 청원구,-
64,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9749,202510,27,"42,500",-,26,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
65,충청북도 청주시 청원구 내수읍 은곡리,302,302,0,천일은곡,59.739,202510,27,"9,000",204동,13,개인,개인,2000,은곡묵방길 52-10,-,직거래,-,25.10.28
66,충청북도 청주시 청원구 사천동,229-7,229,7,보성아파트,59.71,202510,25,"7,450",-,4,개인,개인,1989,율봉로56번길 5,-,중개거래,충북 청주시 청원구,-
67,충청북도 청주시 청원구 주성동,335,335,0,대원칸타빌1차아파트,84.798,202510,25,"44,400",-,20,개인,개인,2013,율량로 103,-,중개거래,충북 청주시 청원구,-
68,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9749,202510,25,"42,000",-,32,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
69,충청북도 청주시 청원구 우암동,353-2,353,2,덕일한마음,26.13,202510,25,"4,950",-,12,개인,개인,1996,향군로74번길 26,-,중개거래,충북 청주시 청원구,-
70,충청북도 청주시 청원구 우암동,353-2,353,2,덕일한마음,26.13,202510,25,"4,700",-,3,개인,개인,1996,향군로74번길 26,-,중개거래,충북 청주시 청원구,-
71,충청북도 청주시 청원구 내덕동,516-2,516,2,이랜드해가든,84.9603,202510,24,"26,000",101,3,개인,법인,2009,공항로84번길 30,-,직거래,-,25.10.24
72,충청북도 청주시 청원구 율량동,742,742,0,삼정2,84.57,202510,24,"22,700",-,8,개인,개인,1992,율봉로175번길 54,-,중개거래,충북 청주시 청원구,-
73,충청북도 청주시 청원구 사천동,231-4,231,4,보성(231-4),59.14,202510,24,"8,100",-,2,개인,개인,1988,율봉로56번길 5,-,중개거래,충북 청주시 청원구,-
74,충청북도 청주시 청원구 율량동,1236,1236,0,서우,66.81,202510,24,"10,000",-,1,개인,개인,1988,공항로 133,-,중개거래,충북 청주시 청원구,-
75,충청북도 청주시 청원구 주성동,335,335,0,대원칸타빌1차아파트,84.798,202510,24,"45,200",-,20,개인,개인,2013,율량로 103,-,중개거래,충북 청주시 청원구,-
76,충청북도 청주시 청원구 주성동,337,337,0,대원칸타빌3차아파트,84.798,202510,24,"48,500",-,22,개인,개인,2015,율량로 135,-,중개거래,충북 청주시 청원구,-
77,충청북도 청주시 청원구 율량동,861,861,0,두진백로그린타운,32.76,202510,23,"6,400",-,4,개인,개인,1996,율봉로201번길 34,-,중개거래,충북 청주시 청원구,-
78,충청북도 청주시 청원구 오창읍 각리,646-1,646,1,우림필유2차,59.9101,202510,23,"21,700",-,14,개인,개인,2006,오창중앙로 65,-,중개거래,충북 청주시 청원구,-
