□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
36,충청북도 청주시 상당구 문의면 미천리,228-15,228,15,창신씨동,46.74,29,202506,12,"6,000",2,개인,개인,1990,문의시내1길 28-8,-,직거래,-,25.07.11
37,충청북도 청주시 상당구 금천동,132-12,132,12,종점나동,46.08,38,202506,10,"4,000",2,개인,개인,1989,수영로217번길 7,-,직거래,-,25.06.13
38,충청북도 청주시 상당구 문의면 미천리,114-46,114,46,대명빌라(114-46),49.32,55.33,202506,4,"3,000",2,개인,개인,1990,문의시내2길 19-5,-,직거래,-,25.06.13
39,충청북도 청주시 상당구 금천동,5-57,57,5,진영빌라,45.72,30.16,202506,4,"4,500",2,개인,개인,1990,중고개로273번길 47-8,-,중개거래,충북 청주시 상당구,25.06.17
40,충청북도 청주시 상당구 용담동,3-97,97,3,용담,44.3,68,202506,2,"2,000",2,개인,개인,1980,교동로139번길 43,-,직거래,-,25.06.30
41,충청북도 청주시 상당구 영운동,140-15,140,15,삼부빌라A,49.23,44,202505,30,"4,400",1,개인,개인,1989,수영로137번길 145,-,중개거래,충북 청주시 상당구,25.07.14
42,충청북도 청주시 상당구 금천동,6-56,56,6,어울림B동,69.92,61.125,202505,26,"10,000",5,개인,개인,2006,수영로246번길 29-1,-,직거래,-,25.06.02
43,충청북도 청주시 상당구 금천동,9-54,54,9,금천동정원쉐르빌,71.81,57.899,202505,26,"16,900",3,개인,개인,2016,꽃산동로8번길 30,-,중개거래,충북 청주시 상당구,25.07.01
44,충청북도 청주시 상당구 금천동,47-21,47,21,(47-21),60.72,53.15,202505,21,"14,400",3,개인,개인,2014,중고개로 287-18,-,중개거래,충북 청주시 상당구,25.07.10
45,충청북도 청주시 상당구 금천동,3-47,47,3,힐링타운B동,59.97,46.5,202505,20,"9,700",3,개인,개인,2014,중고개로 287-16,-,중개거래,충북 청주시 상당구,25.06.24
46,충청북도 청주시 상당구 남일면 효촌리,251-31,251,31,유진A동,42.66,27.23,202505,19,"5,000",2,개인,개인,1990,효촌송암길 7-11,-,직거래,-,25.05.19
47,충청북도 청주시 상당구 금천동,4-46,46,4,동부맨션(46-4),84.82,56.6875,202505,19,"11,900",3,개인,개인,2005,중고개로273번길 36,-,중개거래,충북 청주시 상당구,25.09.11
48,충청북도 청주시 상당구 금천동,5-52,52,5,"정원쉐르빌(A,B,C동)",44.7267,35.14,202505,18,"9,000",5,개인,개인,2014,꽃산동로 4-17,-,중개거래,충북 청주시 상당구,25.05.30
49,충청북도 청주시 상당구 금천동,5-52,52,5,"정원쉐르빌(A,B,C동)",44.7267,35.14,202505,12,"9,500",4,개인,개인,2014,꽃산동로 4-17,-,중개거래,충북 청주시 상당구,25.05.29
50,충청북도 청주시 상당구 남일면 효촌리,7-32,32,7,베네치아주택,78.7089,92.7365,202505,9,"14,200",5,개인,개인,2011,효촌송정1길 21-5,-,중개거래,충북 청주시 상당구,25.07.07
51,충청북도 청주시 상당구 남일면 효촌리,7-32,32,7,베네치아주택,78.7089,92.7365,202505,9,"14,200",5,개인,개인,2011,효촌송정1길 21-5,20250612,중개거래,충북 청주시 상당구,-
52,충청북도 청주시 상당구 남일면 송암리,413,413,0,송암빌라,80.062,135.837,202505,7,"8,000",2,개인,개인,2000,효촌송암길 95,-,직거래,-,25.05.12
53,충청북도 청주시 상당구 용담동,151-4,151,4,건영빌라(151-4),44.22,32.1,202505,7,"5,500",1,개인,개인,1992,당산로89번길 22,-,중개거래,충북 청주시 청원구,25.06.10
54,충청북도 청주시 상당구 탑동,252-10,252,10,연화하우스A동,48.51,50.61,202505,2,"5,600",2,개인,개인,2005,탑동로39번길 9,-,중개거래,충북 청주시 상당구,25.05.16
55,충청북도 청주시 상당구 수동,117-1,117,1,덕흥빌라,60.17,53.593,202504,29,"7,000",3,개인,개인,1991,대성로206번길 26-5,-,직거래,-,25.05.09
56,충청북도 청주시 상당구 탑동,297-85,297,85,서우빌라,83.475,62.62,202504,24,"7,700",3,개인,개인,1985,탑동로1번길 82,-,중개거래,충북 청주시 상당구,25.07.18
57,충청북도 청주시 상당구 용담동,89-26,89,26,아진빌,59.41,68.25,202504,22,"15,000",2,개인,개인,2014,명암로 7-39,-,직거래,-,25.04.30
58,충청북도 청주시 상당구 용담동,89-26,89,26,아진빌,59.41,68.25,202504,22,"15,000",1,개인,개인,2014,명암로 7-39,-,직거래,-,25.04.30
59,충청북도 청주시 상당구 남일면 효촌리,11월 19일,19,11,재원주택,59.27,39.53,202504,22,"5,000",4,개인,개인,1991,효촌송암1길 33-12,-,중개거래,충북 청주시 서원구,25.05.07
60,충청북도 청주시 상당구 남일면 효촌리,243,243,0,경원빌라,55.2,43.14,202504,16,"4,700",3,개인,개인,1992,효촌송암길 18-19,-,직거래,-,25.04.17
61,충청북도 청주시 상당구 영운동,7-60,60,7,정원쉐르빌(101동),52.83,31.72,202504,15,"14,000",2,개인,개인,2017,영운천로69번길 22-7,20250603,중개거래,충북 청주시 청원구,-
62,충청북도 청주시 상당구 대성동,01월 01일,1,1,영일파크빌라,58.53,41.3,202504,15,"4,000",4,개인,개인,1992,용담로101번길 13,-,직거래,-,25.04.16
63,충청북도 청주시 상당구 금천동,105-8,105,8,경희다동,44.26,33.18,202504,14,"6,200",1,개인,개인,1989,꽃산서로 19-8,-,중개거래,충북 청주시 상당구,25.05.29
64,충청북도 청주시 상당구 금천동,47-36,47,36,루시드빌C동,69.3,45.297,202504,12,"12,500",3,개인,개인,2015,중고개로 287-19,-,중개거래,충북 청주시 상당구,25.05.12
65,충청북도 청주시 상당구 수동,427-6,427,6,(427-6),69.69,51.9,202504,10,"18,200",4,개인,개인,2015,대성로 230-5,-,중개거래,충북 청주시 상당구,25.06.02
66,충청북도 청주시 상당구 용담동,89-26,89,26,아진빌,59.41,68.25,202504,10,"10,500",1,개인,개인,2014,명암로 7-39,-,직거래,-,25.05.08
67,충청북도 청주시 상당구 남일면 효촌리,7-32,32,7,베네치아주택,78.7089,92.7365,202504,7,"15,000",1,개인,개인,2011,효촌송정1길 21-5,-,중개거래,충북 청주시 상당구,25.05.23
68,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,53.5712,89.5988,202504,4,"15,000",1,개인,법인,2012,명암로 7-36,-,직거래,-,25.04.29
69,충청북도 청주시 상당구 금천동,47-17,47,17,행복한집,70.4325,58.38,202504,3,"10,000",5,개인,개인,2013,중고개로 297-27,-,직거래,-,25.05.23
