□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
85,충청북도 청주시 상당구 용담동,151-3,151,3,건영빌라(151-3),월세,44.13,202410,10,300,30,1,1992,당산로89번길 22,202411~202611,신규,-,,,연립다세대
86,충청북도 청주시 상당구 대성동,10월 17일,17,10,대성빌라,전세,70.96,202410,10,"14,000",0,3,2017,용담로93번길 23,202410~202610,갱신,사용,"14,000",0,연립다세대
87,충청북도 청주시 상당구 금천동,47-16,47,16,(47-16),전세,78.75,202410,8,"13,800",0,5,2013,중고개로 297-17,202410~202610,신규,-,,,연립다세대
88,충청북도 청주시 상당구 대성동,1-88,88,1,대성,월세,51.68,202410,4,"1,500",20,3,1986,대성로122번길 56,202410~202610,신규,-,,,연립다세대
89,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,59.2093,202410,2,"2,000",70,1,2012,명암로 7-36,202410~202610,신규,-,,,연립다세대
90,충청북도 청주시 상당구 남일면 효촌리,11-35,35,11,주원애뜰101동,월세,70.8238,202409,20,"1,000",50,4,2013,효촌송정1길 30,202409~202504,신규,-,,,연립다세대
91,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,53.5712,202409,17,"3,100",50,3,2012,명암로 7-36,202409~202712,신규,-,,,연립다세대
92,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,53.5712,202409,17,"3,100",50,3,2012,명암로 7-36,202409~202712,신규,-,,,연립다세대
93,충청북도 청주시 상당구 금천동,5-57,57,5,진영빌라,월세,45.72,202409,14,500,35,3,1990,중고개로273번길 47-8,202410~202610,신규,-,,,연립다세대
94,충청북도 청주시 상당구 금천동,1-47,47,1,가인빌,월세,49.92,202409,10,"1,000",50,2,2012,중고개로 297-2,202409~202609,신규,-,,,연립다세대
